text,labels
.,3
The Van Den Bleeken case puts pressure on these standard arguments for and against voluntary euthanasia,1
it was the inevitable outcome of a number of factors,1
and,3
America's greatest need is the next great move of God,1
.,3
We should put an end to all bailouts,1
.,3
She fell into a coma and was pronounced dead four days later,0
.,3
We must not fall into that trap,1
he didn't respond,0
This was also accompanied by the passage of Anti-Terrorism Act in 2012,0
"the real number is around 3,000 from across the continent, including the dead and returned, according to an estimate by Gilles de Kerchove, the EU's anti- terrorism chief",6
",",3
.,3
.,3
And,3
.,3
:,3
.,3
The same distancing will likely occur between blacks and whites as the demonstrations over the grand jury decisions in Ferguson and Staten Island roll on,1
and,3
"""Engage them"" is the idea at the heart of the president's plan for his last two years",1
Stick it on the bill,4
and,3
",",3
businesses are clearly feeling less trepidation about investing,1
"This is because of the insane acts of co-religionists whose Islam is fixated on the ""sword"" and has little to do with the might of the ""pen"" that over millennia Muslim luminaries used to connect with others, and spread knowledge",1
"With the brief time remaining before Christmas, use it to ""shop for fun"" not for necessity",1
.,3
.,3
.,3
.,3
where a million public jobs are being lost,1
",",3
.,3
But,3
"I wonder, what was the aim before this?",1
"We were marching in defiance, determined to rise above the fear and chaos the terrorists inflicted on our city",1
",",3
.,3
.,3
.,3
",",3
And,3
What contributed to ISIL's quick success was cooperation from local Sunni tribes and members of the traditionally secular and nationalist Baath party,1
"Senior Sunni and Shia clerics took advantage of the situation and attempted to further the interests of their respective communities, declaring open support for the line taken by the Iraqi leader",1
"Accused of ""incitement to suicide"" or ""an attempt to suicide"" as per Article 125 of the Criminal Code, Ismayilova remains in jail ",0
",then",3
"Patrick Kingsley, the Guardian's Cairo correspondent, who has reported on the case of the three journalists since they were arrested and who also conducted the interview, contacted the Guardian's foreign desk within 35 minutes of the story going up on the website to warn of the errors and amend the copy",0
",",3
"any incremental spending means ""borrowing against the future.""",1
me masturbating,3
"We will protect the good Muslims, so gestures the campaign",1
"that most every Muslim government condemning the attack on Charlie Hebdo routinely imprisons and tortures artists and activists for far less offensive expression, all with the support of the West",1
International donors have been generous in giving billions in foreign aid to Afghanistan,1
;,3
.,3
.,3
.,3
many districts have banned the religious society in recent years,0
",",3
.,3
"At his press conference on Friday, President Barack Obama said that Sony ""made a mistake"" by not releasing its film ""The Interview"" on schedule",6
"In 2011, after much ""harassment"" from activists, the mayor of Sopot agreed to implement participatory budgeting in the city",0
"International media agencies described the perpetrator, the now-deceased Bradley William Stone, simply as ""a suspect"", ""a gunman on the loose"" and even ""a Montgomery man""",0
.,3
"He called for the public's resilience in the face of hardship, and promised to continue his foreign policy in the belief in the justness of Russia's cause and greatness",6
.,3
"that can help tackle inequality, empower women and girls, and promote shared prosperity",1
If,3
",",3
Phil Lutton points out,1
.,3
"Carlos was seven, he was stricken with polio and eventually couldn't walk",0
All of this is good news as we ring in the new year,1
above all,3
Mayweather has announced that he will visit Australia at the end of the month,6
",",3
the ECB cannot readily purchase mortgage-backed securities to boost the European housing sector,1
"""Republican tax policies, opposition to regulating pollution, their effort to repeal Dodd- Frank - it all favors the rich... We need to engage them on all that.""",6
:,3
.,3
Indirect evidence,3
"After reading the report, one would have to wonder how it could",1
.,3
"you get so drunk that you dance on a table, start crying or vomit into your lap",1
Instead,3
My people weren't upset by water-boarding,1
Did your parents and siblings earn your love by unconditionally loving you as a child?,0
.,3
.,3
.,3
.,3
But domestic and international confidence in the will or capacity - or both - of Nigeria's federal government to take the decisions to mount an effective response is fast waning in the face of increasing casualties,1
because there are not enough qualified teachers with proficiency in both languages,1
.,3
"Yes, more oil is produced at home",5
and yet the fraternity and its members have been silent,1
.,3
.,3
"Ten years later, now with the Times on the verge of collapse, forced retirements, layoffs and plunging ad revenue, the facts are teaching a lesson in irony and hypocrisy to Ms  Dowd and everyone else at the Times who jettisoned the truth to soothe jealousies and pander to politics",1
.,3
.,3
",",3
just because Cameron's been proven to be technically illiterate and may be attempting to publicly back away from his most radical proposal,1
This is perhaps the most enduring myth in Washington that has dangerously infected Iran policy,1
- and,3
"Now Circle is pulling out, less than a third of the way through a 10-year contract, reportedly? 7m poorer and with a stock price that has taken a double-digit hit in the past 24 hours, surely confirmation that privatisation delivers no magical solution",1
In addition,3
Who knows?,1
.,3
and,3
"But he is, in truth, a thief",1
.,3
they end up killing each other,1
.,3
We know what needs to be done,1
.,3
.,3
",",3
.,3
.,3
People like my yoga teacher,1
In addition,3
his marks are high,1
.,3
.,3
A coordinated global plan to counter terrorist media propaganda would be a useful tool for journalists in areas adversely affected by terrorist attacks,1
",",3
They alleged that a single person in Piedmont had complained about the parade theme,6
Mal was a member of a then-notorious neo-Nazi organisation with a track record of serious criminal activity,0
People turned away in terror,1
.,3
"How can this act be attributed only to dogmatic ideological motivations and grievances over international conflicts, given that the religious and ideological indoctrination process is too complicated to be attributed solely to external factors?",1
"As such, he is stating more of an uncomfortable fact than an outlandish opinion",1
while,3
\.,3
 the torture programme was so out of whack with what professional interrogators do that the CIA had to go outside the US government to find people to do it,1
"- that is, of taking the adult decision to abandon the religion of his childhood- the sentence would have been death",1
.,3
.,3
"as some means of twisted compensation, we're offered slave wages, zero-hours contracts and made-up job titles",1
"Despite its support for Track Two diplomacy initiatives, Aliyev's regime was quick to accuse Leyla Yunus and Rauf Mirkadirov of treason and spying for Armenia this year",1
.,3
.,3
"for the first time in its young democracy, Afghanistan has a high-profile and active First Lady, Rula Ghani, championing the rights of Afghanistan's internally displaced",0
No electorate has approved it,1
.,3
.,3
"In order to mine for coal, they would need to cut down the forest and displace those who live there",1
which tend to increase rather than decrease anti-Islamic sentiments,1
"It is quietly and determinedly going to attempt to anchor Europe in the same successful combination of liberal democracy, social solidarity and productive capitalism that it enjoys",1
"My first, tentative, nibble of foie gras resists any food critic hyperbole for which I could reach to describe how wonderful it was - and has been every time since",0
.,3
.,3
The professor has now apologized for his treatment of Duan and his family,0
"Dame Sally Davies, the chief medical officer, has warned that a 20% tax on sugar in fizzy drinks may be required",6
"the Tories are calculating that any fuss will be short- lived, soon forgotten and, in the end, not that many voters will punish them for it, especially if their spinners can successfully sow confusion about who is responsible",1
it's one the nation can ill-afford,1
Interest rates are as low as they've been in 40 years,5
.,3
"for those folks who need to fulfill a shopping list, it can be one of the worst",1
In addition,3
:,3
.,3
just as the Christmas shopping season starts before you get to Thanksgiving dessert,1
If,3
",",3
.,3
because the insurgents will further intensify their attacks in the beginning of next spring,1
.,3
.,3
But marriage for a lifetime is worth it,1
That Hillary Clinton was the enabler of his clueless foreign policy is a serious problem for the former first lady,1
"This September the U.N  General Assembly voted 124-11, with 41 abstentions, to support Argentina's position",0
.,3
"In his half century reign of terror, Cuban dictator Fidel Castro committed manifold atrocities",1
and,3
:,3
Thus,3
.,3
But,3
.,3
",",3
Or,3
.,3
.,3
it wants without any official input from Congress,1
"The answers to these questions are obvious, as is the belief of most of those in government that they can write any law and regulate any behavior and ignore the Constitution they have sworn to uphold whenever they want",1
"news emerges that the Conservative party chairman, Grant Shapps, has jokingly promised young volunteers that the most active among them might get to go on holiday to Ibiza with Samantha and David Cameron",0
-,3
"Since the advent of modern ""anti-poverty"" programs 50 years ago, according to an analysis by The Heritage Foundation, ""U.S  taxpayers have spent over $22 trillion on anti-poverty programs.""",5
.,3
"But in the 21st, 15th or 57th century - whatever your religion, calendar, or country- there is no excuse or justification for responding to art with murder",1
.,3
.,3
After all,3
"US President Barack Obama has authorised the US contingent to continue supporting Afghan National Security Forces (ANSF) throughout 2015, with all of these forces scheduled to leave by the end of 2016",0
this alone added almost 0.2 percentage points to GDP growth,5
.,3
"And her clothes - unfussy, elegant, practical, a touch forbidding - reflect this",1
.,3
I feel that the central question is raised by Derrida's inquiry into how we can learn to live together,1
"in Lima and Paris, we will make our voices heard",1
"Successful, European Ukraine will be a deadly blow to Putinism as an embodiment of that broadly advertised anti-European alternative",1
.,3
.,3
a reduction of this size in the foreign aid budget will result in the unnecessary deaths of hundreds across the globe due to reduced access to vital services,1
",",3
"The tax proposals outlined by President Obama are old school, and dead on arrival in the Republican Congress, as he well knows",1
.,3
The appropriation that she and others have carried out is nothing new,1
"developing real socioeconomic infrastructure, strengthening solidarity, emphasising the fight against discrimination in employment and housing, strengthening anti-racist laws and promoting a fairer media discourse towards these populations in order to improve their lot in life",1
.,3
.,3
which provided the initial impetus for the regime to talk,1
.,3
but,3
And,3
Armenian separatism in Samtskhe-Javakheti might not be as vocal as it was only a few years ago,1
.,3
Too soon?,1
.,3
Moreover,3
They engaged voters in ways that we hadn't seen before in Britain,1
People wanting what's best for their kids leads easily to the coughing-up of cash,1
"In 2008, I was one of a number of Bhopal survivors in New Delhi who fasted for 21 days, only having water",0
"Pride reaches deep into the square states - subtly influencing parents, siblings, friends to be more accepting- isn't that a good thing?",1
They can be found mostly via under-the-counter bootleggers or downloaded in secret,1
"""He could sell you a landmine if he wanted to"", an activist once told me about the man",6
.,3
.,3
"Gridlock now looks to be built into the political system for the next two years, and in many ways that's reassuring",1
if,3
.,3
'Little Hope Was Arson': Why I made a movie about burning churches.,7
.,3
.,3
 my distaste should not dictate the work the magazine produces or anything else,1
Christmas is about anticipating and celebrating the greatest gift that has already been given-- the unconditional love of God in the birth of Jesus Christ,1
ISIL spurring negative media for the past six months and other violent groups competing not far behind in evil acts,1
- but,3
The buzz on the internet surrounding the new Star Wars trailer is showing that the franchise is assuredly a force to outmatch cat videos or even Kim Kardashian,1
.,3
.,3
when,3
"Texas, California, Arizona, and Nevada offered large giveaways in incentive subsidies",0
and,3
.,3
the state was correct to intervene,1
but,3
",",3
-- and,3
.,3
The US needs to reject it outright now,1
"as inmate transfers continue, the US must abide by the principle of ""non-refoulement"", ensuring detainees' right to not be returned to a place where they will face persecution, torture or death",1
In short,3
View of superiority,3
"CIA Report, Funding the Government: How can Obama, Congress defy the Constitution?",7
"MacGregor's argument is that because Germany cannot take comfort or define itself by imagined past glories, it is free of imprisoning and destructive myths",6
.,3
.,3
.,3
the Twitterverse welcomes it,1
"The department has been slow-walking the implementation of the reform law's provisions that would allow veterans who are facing a wait of more than 30 days to see a physician, or those who live far from VA facilities to consult with a medical provider in the private sector",1
He observed that one option before the government was to bring NDFB to the negotiating table,6
.,3
"We've heard them at the expense of millions of other stories that never get funding, that are rewritten and whitewashed, that are needlessly recentered around a white person a la Orange is the New Black",1
hurtful,3
.,3
"Coca-Cola plans to play ""an even greater part in future moments of happiness and celebration in the capital"", according to Jon Woods, general manager of Coca-Cola UK and Ireland",6
"Four years earlier in 1994, Shiji Lapite died after being placed in a police van in east London",0
this news signifies a development in Saudi foreign policy to Iraq,1
"He's taken on black lives falling victim to gun violence at his annual address before by inviting the parents of Hidaya Pendleton, a black Chicago teenager who was killed in 2013 shortly after performing at Obama's second inaugural",0
"As with most incidents of violence involving Muslims, however, the ensuing public discussion has revolved largely around resolute vows to uphold a fundamental value of western civilisation - the freedom of expression - and degenerated into recriminations about Islam's purported assault on that very freedom",1
But,3
"they seemed pressed to the edges, sitting in doorways or leaning on fences",1
",",3
We must be on guard against the already audible attempts to justify a further curtailment of media and internet freedoms in the interests of national security in the aftermath of the Paris terror attacks,1
.,3
"Singh could well have cited another instance of sheer savagery - a seven-year- old boy was shot seven times in his foot, thigh, abdomen, hand and face - to build a stronger case for the clampdown",1
",",3
"I could afford your gorgeous, minimalist gear",1
"In typical fashion, the Portuguese and their imperial colleagues instead portrayed the Mozambique Liberation Front (FRELIMO) as violent terrorists, despite the merely reactive nature of anti-colonial violence to centuries of oppression",1
",",3
but,3
But there was no footnote or correction published because of the short time lapse between publication and amendment,0
something Madonna would surely be mortified by,1
.,3
.,3
.,3
"Most obituaries and news reports called Cuomo ""inspiring.""",1
.,3
.,3
But I am worried about my brothers and sisters who are at the hospital too,0
.,3
.,3
",",3
"The CFAA already has incredibly harsh penalties, so much so that there's been a movement for years to reduce them",1
",",3
.,3
",",3
.,3
Police officers in America have a more dangerous job than many people realize,1
.,3
"The United Nations told the world that every boy and every girl, everywhere, would have access to a school and to an education and to opportunity",1
.,3
.,3
.,3
.,3
it is the racist expressions of Enlightenment philosophers or the cartoons of Charlie Hebdo,1
.,3
.,3
"Towards the end of last year the desperate position saw Damascus even issue a new ""Martyrs Stamp Duty""",0
",",3
"High-ranking Russian representatives, including Gazprom's CEO Alexei Miller, who was in Ankara last week, promise to step up volumes through the Blue Stream, the pipeline connecting the Russian grid to central Anatolia via the Black Sea, and reach a total of 30 billion cubic metres in 2014, from 25.6 billion cubic metres the previous year",0
and,3
.,3
.,3
",",3
.,3
",",3
.,3
.,3
when Williams explained to the Justice Department his plan to have Helms take the stand and recite all the covert programs that had been protected by various forms of prevarications by intelligence officials,0
Pfeiffer ties the president's rising popularity to the success of his economic policies but also to the Republican Party's difficulties with any voter not in the Koch brothers' tax bracket,6
"Siyavush Novruzov, an MP from the ruling party, agrees",1
"That includes visitor services, school bookings, public information and even complaints",1
",",3
.,3
.,3
This is nothing short of betrayal,1
They do not want us to insult their Islamist friends,1
"Over one two-day period, he was left with his wrists handcuffed to an overhead bar for 22 hours a day in order to ""break his resistance""",0
.,3
.,3
",",3
"The Times went on to argue that while Cochran is free to believe whatever he wants, there are limits to where he can believe and still maintain gainful employment in the public arena",6
.,3
when,3
everyone knows that females are more likely to be coerced into using their sexuality,1
In its ideological zeal to punish America,1
.,3
but,3
;,3
it comes to certain issues,1
.,3
The debate has been about whether President Obama should have been at the march,1
.,3
the George Lucas version will appeal to geeks),4
.,3
;,3
.,3
anti-prostitution activists have managed to ally themselves with mostly sexually and socially conservative groups in their call for the suppression of sex work,1
it will eventually result in downward pressure on oil exports and could start affecting subsidies,1
it collapsed under the weight of its own contradictions,1
.,3
not during meals,1
.,3
",",3
.,3
.,3
.,3
.,3
.,3
"After Charlie Hebdo attack, the real war.",7
if,3
"In addition to the BSA, the signing of the Status of Force Agreement (SOFA) between NATO and the new Afghan government has created a new momentum in the country, while ensuring continued military and financial assistance for the new government",1
"That amendment was a reaction to the brutish British practice of rummaging through the homes of American colonists, looking for anything that might be illegal",1
.,3
.,3
"where""sharing economy"" start-ups rubbed shoulders with venture capitalists",0
There is no short-cut to end the chronic and acute political crisis in the Muslim world,1
.,3
I get sores on the right-hand corner of my mouth due to the drool that manages to escape because of facial weakness on that side,0
.,3
.,3
.,3
 freedom of navigation (FoN) - a pillar of commerce and trade - in the South China Sea could be in peril,1
No exceptions,1
A community not built around children is no community at all,1
like the more than $200 million in ticket sales the movie has raked in just one week,5
"In recent months it has made significant territorial gains and is in control of many towns around the Borno state capital, Maiduguri",1
.,3
First,3
"Like every hospital trust, it struggled under new treatment tariffs, the Nicholson challenge to make? 20bn of savings over a five-year period, and fluctuating demand influenced partly by GP and community care availability",1
.,3
"The state aim of compelling secularisation upon its Muslim citizenry was based upon the civilisational binary, and ultimatum, to choose between ""Islam and the West"", ""Muslim lands or France""",1
.,3
"Ed, whose whiny music makes him sound as though he's got his tongue permanently trapped in a child safety gate",1
Both claim not to be radical,6
It is worth noting that it is not 100 percent positive that Pyongyang is behind the Sony hack or the 9/11 warning,1
.,3
.,3
",",3
.,3
Any reforms of the intelligence universe cannot easily be effected,1
It's a horrible word and a horrible concept,1
who spun NATO's war against Serbia to a lethargic European public 15 years ago,0
"And then there's the White House's so-called solution to the cybersecurity problem, which they unveiled earlier this week",0
The Conservative vision for the future of the NHS is looking like an electoral liability,1
.,3
Shame on you,3
"as we landed on the South Lawn, he looked up at pictures of his ranch displayed on the walls of the chopper",0
.,3
which has impacted the US and NATO military missions in Afghanistan since 2001,1
"In this, the late Cardinal Joseph Bernardin expressed opposition to both issues while eloquently arguing that the Catholic Church believes that each is part of a ""seamless garment"" of life and that all life matters and should not be taken by individuals, or the state",0
.,3
Bodos floated a political party called Bodoland People's Front (BPF) to administer BTAD,0
.,3
.,3
"At this stage there had still been no formal complaint to the readers' editor's office, but by 5pm editors made me aware of the problems",0
;,3
.,3
From Syria and Iraq to South Sudan and the Central African Republic we have seen more children uprooted and displaced than at any time since the Second World War,1
",",3
"It is times like these that Americans should be thankful for their Second Amendment, and crush any effort or force seeking to weaken or remove it",1
.,3
So perhaps what is its endgame is the wrong question,1
But even loyal Conservatives can't entirely ignore the intellectual void at the centre,1
"And it's why we paused to listen while a little African girl bellowed ""Je suis Charlie!"" from a third story window at her mother's side",0
.,3
.,3
we excuse ourselves for this moral exception by constantly reminding ourselves that our country was attacked in 2001,1
"""Move your America hating ass to Iraq, let ISIS rape you then cut your cunt head off, fucking media whore muslim,"" wrote a rather unassuming-looking mom named Donna",6
.,3
.,3
But there's a lesson in the way contracts are awarded too,1
.,3
which is heading for general elections in the first half of 2015 and is therefore determined to avoid such unpleasant shocks and also keep gas prices low,1
If,3
",",3
then admit it to yourself,1
"The soldiers were mounted on shaggy ponies, their submachine guns slung across their backs",0
"And days later, no Armenian official attended the funeral of the murdered family",0
He allegedly closed a car door on his then-partner Melissa Brim before repeatedly punching her while she lay on the back seat,0
.,3
the country was running deficits of 15%-20% of GDP during the peak boom years,5
our own human networks collapsed,1
;,3
",",3
And the President's proposal only gives students a discount on tuition,1
.,3
I love the smell of kebab in the morning,1
"In order to lift the embargo, the Cuban government would have to give the Cuban people a number of rights--of association, speech, political activity, etc ",1
the fact that a person believes that their life isn't worth living doesn't make it acceptable for them to be euthanised,6
.,3
Iran fought a proxy war against US forces in Iraq following the 2003 Iraq war by supporting Iraqi militias during the insurgency,0
Our attitudes to accidental phone rings are stuck in the 80s,1
It is clear to us in Afghanistan that the donor countries will not tolerate anymore corruption and bad governance,1
.,3
"They were upset-- infuriated-- by the collapse of the Twin Towers and the deaths of 3,000 Americans",1
.,3
.,3
"But even so, things feel as if they are changing for the worse",1
But there should be some quiet and thoughtful debate within our Congress about how it can supervise these vital intelligence programs,1
the Kremlin did nothing to advance that agenda,1
",",3
.,3
.,3
.,3
.,3
"The fact that she is 9 months away from turning 18 years old may, in the end, have saved her life",1
Rice was later cut by the Baltimore Ravens and suspended by the NFL,0
",",3
just as North Korea probably thinks it has conquered us,1
.,3
.,3
Many factors contribute to this disparity,1
"The government's unwillingness to commit to vital transport infrastructure, such as Crossrail 2 and new Thames bridges, is scarcely better",1
"He hopes such a move, if approved by Parliament",1
Novelist Salman Rushdie was still under a death warrant for insulting the prophet,0
--,3
they should feel proud of their early adopting ways,1
as happens in France,1
.,3
.,3
.,3
.,3
-,3
"In Cameron's case, he wants it back to the happy days",1
"Unfortunately, he has not been an inspirational president",1
.,3
.,3
The powers they gave to the military allowed large-scale arrests and detentions of political workers and journalists,1
.,3
He is correct,1
.,3
As,3
",",3
:,3
.,3
.,3
Rosatom has not obtained what it wanted,1
"So poor are his personal ratings, Mr Miliband might only have to turn up and string together a few half-decent sentences and more people would think better of him",1
.,3
and,3
And nearly 90 percent of women working full-time while pregnant choose to continue working into their last month of pregnancy,5
.,3
.,3
Mr  Obama's focus on the middle class is unsurprising,1
.,3
",",3
though she later dropped the charges and testified that she had lied to police,0
He is an economist and was formerly chief economist at the United States Sentencing Commission,4
"It is, I imagine, the same sentiment a potential jihadist feels when he or she foolishly believes that they're being righteously called upon to fight for the creation of an Islamic state",1
;,3
"In 1931, bad weather killed 3 million people",5
.,3
.,3
The U.N  resolutions in support of Argentina do not have the force of law,2
But the most spectacular achievement of the Polish urban movement in recent months was putting Krakow's candidacy to host the 2022 Winter Olympic Games to a referendum,1
How realistic is the return of these vast holdings under a continuing Castro regime?,1
The main emotion holding this system together is shame and the fear of feeling shame,1
and,3
- as the recent flogging of a Saudi blogger has illustrated,0
.,3
After all,3
we've got millions of people in the country who are looking for some form of permanent status,5
-,3
Seventy percent of women with children under the age of eighteen work outside the home,5
.,3
.,3
.,3
.,3
Great news!,3
"""I would do it again in a minute,"" Cheney said on NBC's Meet the Press",6
"and they feel they are being neglected, while refugees are offered help",6
this it seems to me only serves to focus attention on something illogical at the heart of the church's traditional teaching on birth control,1
The IFC should take this moment to promote open dialogue about sexual violence,1
The Founders understood that there is a direct connection between the prosperity and health of a nation and its respect for human rights and religious freedom,1
"A recent Middle East Eye report outlined that the ""Syrian economy has effectively ceased to function, and President Bashar al-Assad's government is almost entirely dependent on loans from Iran and some aid from the Russian Federation""",6
the Banter Bus makes an unexpected stop at a sexual health clinic,0
.,3
The Chamber of Deputies is likely to make it law next year,1
" overwhelmingly, we marched to defend our right to freely express our views",0
-,3
.,3
;,3
"On Monday afternoon, Senator Dianne Feinstein released a letter to Barack Obama, suggesting a series of reforms ""to make sure that the United States never again engages in actions that you have acknowledged were torture""",0
As,3
.,3
"We must better understand that a conflict that has seen over 12,000 children killed - 3,500 last year alone- is going to force people to desperate ends to find hope of a better tomorrow",1
so why do so many embrace progressive ideas?,1
.,3
- but,3
 he was unrepentant,1
we sent a couple of girls into town to empty WH Smith of its stock,0
I'm sorry,4
France and the US are at war,1
.,3
;,3
"International partners promised to continue to assist Afghanistan through its ""transformation decade"", but also underlined that as NATO completes it military mission, they also expect the country to stand on its own feet",1
But I didn't even try to accomplish that,1
.,3
",",3
"Russia fears that Ukraine's and Georgia's expressed desire to join both organisations, risks bringing those organisations to Russia's most vulnerable borders - to the east and the south",1
",",3
.,3
.,3
"That's 5,554 deaths and 157,132 hospital admissions a year, and four times the rate of the road toll",1
Now,3
.,3
"By selecting the prophet as the site of contestation, Charlie Hebdo took a page from the clash of civilisation advocates and built a cartoon narrative around it",1
The moral defence of voluntary euthanasia is usually applied to people suffering from a terminal illness,1
This is the year,1
.,3
.,3
what if I came last?,0
"Boko Haram is pushing the boundaries of the extreme and is challenging - and seemingly succeeding - in overstretching Nigeria's 7th Infantry Division, tasked to fight the insurgents in the north-east",1
"Glozell, who although is wildly creative and funny, was completely respectful of the situation",1
"For some of the affected countries, struggling to overcome the effects of bitter civil war, the outbreak has been a major setback for development",1
.,3
.,3
"Terror is a people's problem in Pakistan, with nearly a thousand deaths in over 372 attacks just this year",5
.,3
As,3
" Tskhinvali, the administrative capital of South Ossetia, is closer to Tbilisi than it is to North Ossetia's capital city Vladikavkaz",1
"The bitterest disputes, however, involve China, on one hand, and the Philippines and Vietnam, on the other",1
.,3
There are moves by the Home Office to roll out restorative justice measures in cases of sexual and domestic violence,1
we do not break promises to children,1
"There are shots I've seen where he looks quite thrillingly ""barking"", bobbing about on his saddle, with no top on, brandishing a rifle like the big he-man he oh so obviously is",0
It all starts now,1
",",3
.,3
.,3
We need to return to the conviction that a faith worth believing in is a faith worth dying for,1
.,3
.,3
.,3
Women and the elderly are especially unlikely to be able to fend off a male attacker without the benefit of a firearm,1
.,3
If,3
But Russia is only part of the problem,1
when,3
"But even by its own standards, this week's papal pronouncements have been bewildering",1
"the CIA had ""no cadre of trained and experienced interrogators, little experience handling and moving prisoners, and no core competency in prison management",6
.,3
oil prices tend to be cyclical,1
",",3
"2014 pushed the UN's humanitarian, peacekeeping and diplomatic efforts to the limit",1
.,3
.,3
.,3
The conditions could not have been more favourable,1
.,3
",",3
.,3
.,3
.,3
"On December 9, the Senate Select Committee released a partial report of the horrifying, illegal torture tactics used by the CIA during the Bush administration",0
.,3
-,3
Will they need to open me up again because my brain is bleeding?,1
",",3
.,3
and,3
",",3
" the daily exaggerated the responses, chose to sail under false colours",1
Moreover,3
",",3
it seems ludicrous that it ever felt so normal,1
.,3
and,3
.,3
"whatever branch of Islamic terrorism is responsible for this heinous crime, the targeting of the French paper is no accident",1
.,3
My late grandfather worked for the B and O Railroad for 50 years,0
.,3
",",3
the public shouldn't have to be persuaded that barbaric methods fail to make them safer,1
",",3
We have to condemn what happened in Paris absolutely,1
.,3
and,3
.,3
"America's elders provided a treasure trove of lessons, tips, and advice for how to find the right mate and keep the spark alive over decades",1
.,3
when he left office in 1952,0
History shows us what can be achieved when politicians take population growth seriously and rise to the challenges it creates,1
.,3
"According to press reports from those who are familiar with the study, it is expected to portray the American intelligence community in the worst possible light",1
Shea tells the story of an underfunded alliance that urgently needs to up its military game,1
.,3
while,3
.,3
.,3
.,3
.,3
"""But Christians also have a right to express our belief regarding our faith and be respected for our position without hate and without discrimination. In the United States, no one should be vilified, hated or discriminated against for expressing their beliefs.""",6
.,3
.,3
.,3
"""Americans are guaranteed the freedom to live without fear of losing their jobs because of their beliefs and thoughts,"" Tedesco said",6
"and 10 means ""strongly agree""",3
.,3
.,3
"As with rail franchises, the emerging NHS market is attractive to private industry precisely because politicians stand behind it with a public chequebook",1
.,3
I found it hard to repress a shudder,1
Too often last minute shopping isn't just an indication you've waited to the bitter end to buy those needed gifts,1
.,3
"On January 6, Iraq will hold its annual Army Day parade in Baghdad",0
"As for the North Korean regime itself, it flatly denies any involvement while at the same time issuing threats against the US that are even more blood curdling than the one issued by the ""Guardians of Peace""",1
"for security reasons, you're not even supposed to bring phones into those gatherings",1
"for many in the country, the assertion borders on arrogance",1
.,3
",",3
Psychotherapy is the gold standard way to begin to get to know yourself more deeply,1
.,3
.,3
You glimpse it unexpectedly all the time,1
 the 2001-2003 protests erupted and swelled over a period in which polls showed continued strong support among the US public for Washington's war operations,0
which stemmed from his three decades of misrule and the hundreds killed in the brutal crackdown he launched to preserve it,1
The churches might still be full today,1
.,3
"some sectors of the Lebanese economy, e.g  construction, remain highly dependent on Syrian workers",1
",",3
.,3
",",3
.,3
I feel stupid for not noticing and not pursuing some of the symptoms,0
.,3
Panama became a demonstration project to communicate to the nations of the global south that resistance to US hegemony would be met with ferocious violence,1
.,3
"Firstly, Al Jazeera broke the news that Iranian F-4 Phantoms were bombing ISIL in Iraq",6
"I even think The X Factor is a hoot, and have written on how it's more colour blind than other parts of the entertainment industry (a point reinforced by the recent nominations)",0
It is not just US foreign policy pushing Turkey away from the West,1
Both parties support perpetual war and perpetual debt,1
Galloping inequality is the result of a million such decisions employers think prudent,1
Many of them are low income Germans,6
"Beginning with Zubaydah, the first CIA detainee to undergo torture, and continuing on with numerous others, the techniques went on for days or weeks at a time",0
"to draw these lines in specific cases, balancing opposing truths in the light of practicality and the evolving values of the community",1
but,3
",",3
.,3
"The profoundly shocking standoff with all its disruptions to city life has struck fear in Sydneysiders, unaccustomed to these types of events",1
.,3
One idea that came up often is doing your partner's chore,0
.,3
.,3
.,3
.,3
You can read the sordid details in a story at Boston.com,4
"our species has deployed mobile technology very quickly, in a very widespread manner",2
The untold thousands of peaceful protesters and activists rotting in Egypt's jails and the cult of personality today surrounding President Abdel Fattah el- Sisi tell the story of how the reluctant decision by Tahrir's revolutionaries to agree to a military-led transition turned out,1
"With the Kurdish Peshmerga representing another large force of around 54 brigades with 113,000 troops, the Iraqi army is thus on-track to become one of the smaller security forces in Iraq",1
More and more people who need help but can't find it,6
"In theory, Obama's December 2009 executive order on national security classification should prevent the CIA from using secrecy to place itself beyond the rule of law",1
"But (and here's the good news), God loves us as we are, not as we should be",1
Comedy Central killed the next episode before Islamists did the same to its staff,0
.,3
Indeed,3
.,3
",",3
",",3
"Paris lessons: US must revoke citizenship of Americans who join ISIS, Al Qaeda.",7
.,3
.,3
.,3
"This Stalinist-style propaganda is designed to justify the Kremlin's aggression against Ukraine, excuse increasing domestic repression, explain away mounting economic hardships and-- most troubling-- perhaps prepare the country for possible aggression against other neighbors",1
.,3
because the priority for most other member states is bolstering the single currency,1
.,3
.,3
.,3
.,3
"Tanenbaum told me that, when women are in closed circle or close-knit community - like a protest with like-minded people, or among friends who understand the cheeky appropriation of the word - identifying as a ""slut"" can be empowering",6
.,3
.,3
.,3
.,3
.,3
", Cassandra would die",1
""".[S]tates frequently deny sex workers the same human and legislative rights and protections afforded to other workers and citizens,"" says sex work researcher Jay Levy",6
.,3
.,3
 the first two groups require a much broader and more complex response,1
.,3
.,3
.,3
.,3
",",3
"He vowed that he wanted to have a healthy workplace for all of his employees.""",6
Our community continues to excuse the practise of drowning one's sorrows,1
.,3
our traditional institutions and self-confidence are in decline,1
